24K - Global Price,22K - Global Price,21K - Global Price,18K - Global Price,14K - Global Price,12K - Global Price,9K - Global Price
1339.0,1227.0,1171.0,1004.0,780.84,669.28,501.97
1378.0,1263.0,1206.0,1033.0,803.74,688.91,516.69
1387.0,1271.0,1213.0,1040.0,808.95,693.38,520.04
1387.0,1272.0,1214.0,1041.0,809.33,693.71,520.28
1388.0,1273.0,1215.0,1041.0,809.92,694.21,520.66
1395.0,1279.0,1221.0,1046.0,813.78,697.52,523.15
1400.0,1283.0,1225.0,1050.0,816.5,699.86,524.89
1397.0,1281.0,1223.0,1048.0,815.05,698.61,523.96
1389.0,1273.0,1215.0,1042.0,810.2,694.45,520.84
1379.0,1264.0,1207.0,1034.0,804.49,689.56,517.17
1384.0,1269.0,1211.0,1038.0,807.31,691.98,518.99
1387.0,1271.0,1213.0,1040.0,808.92,693.35,520.02
1372.0,1258.0,1201.0,1029.0,800.42,686.07,514.56
1372.0,1258.0,1201.0,1029.0,800.39,686.04,514.54
1383.0,1268.0,1210.0,1037.0,806.77,691.51,518.64
1388.0,1273.0,1215.0,1041.0,809.79,694.11,520.58
1388.0,1272.0,1215.0,1041.0,809.75,694.07,520.55
1386.0,1270.0,1212.0,1039.0,808.22,692.75,519.57
1389.0,1274.0,1216.0,1042.0,810.51,694.72,521.04
1375.0,1261.0,1203.0,1032.0,802.29,687.67,515.76
1381.0,1266.0,1209.0,1036.0,805.67,690.57,517.93
1398.0,1282.0,1224.0,1049.0,815.7,699.17,524.38
1425.0,1306.0,1246.0,1068.0,830.97,712.26,534.2
1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23
1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23
1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23
1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23
1402.0,1285.0,1227.0,1052.0,817.94,701.09,525.82
1420.0,1301.0,1242.0,1065.0,828.1,709.8,532.35
1417.0,1299.0,1240.0,1062.0,826.33,708.28,531.21
1425.0,1306.0,1247.0,1068.0,831.0,712.28,534.21
1421.0,1303.0,1243.0,1066.0,828.91,710.49,532.87
1423.0,1304.0,1245.0,1067.0,829.82,711.27,533.45
