_id,Date,24K - Local Price/Sell,24K - Local Price/Buy,22K - Local Price/Sell,22K - Local Price/Buy,21K - Local Price/Sell,21K - Local Price/Buy,18K - Local Price/Sell,18K - Local Price/Buy,14K - Local Price/Sell,14K - Local Price/Buy,12K - Local Price/Sell,12K - Local Price/Buy,24K - Global Price,22K - Global Price,21K - Global Price,18K - Global Price,14K - Global Price,12K - Global Price,9K - Global Price,GC=F,EGP=X,Timestamp,Price
656cfbc718408a59a3302ad3,2022-11-09T00:00:00.000Z,1394,1401,1278,1284,1220,1226,1046,1051,813,817,697,701,1339,1227,1171,1004,780.84,669.28,501.97,,,,
656cfbc718408a59a3302ad4,2022-11-10T00:00:00.000Z,1398,1402,1281,1285,1223,1227,1048,1052,815,818,699,701,1378,1263,1206,1033,803.74,688.91,516.69,,,,
656cfbc718408a59a3302ad5,2022-11-11T00:00:00.000Z,1431,1435,1312,1316,1252,1256,1073,1077,835,837,715,718,1387,1271,1213,1040,808.95,693.38,520.04,,,,
656cfbc718408a59a3302ad6,2022-11-12T00:00:00.000Z,1446,1457,1325,1336,1265,1275,1084,1093,843,850,723,729,1387,1272,1214,1041,809.33,693.71,520.28,,,,
656cfbc718408a59a3302ad7,2022-11-13T00:00:00.000Z,1429,1440,1310,1320,1250,1260,1071,1080,833,840,714,720,1388,1273,1215,1041,809.92,694.21,520.66,,,,
656cfbc718408a59a3302ad8,2022-11-14T00:00:00.000Z,1438,1442,1318,1322,1258,1262,1078,1082,839,841,719,721,1395,1279,1221,1046,813.78,697.52,523.15,,,,
656cfbc718408a59a3302ad9,2022-11-15T00:00:00.000Z,1442,1449,1322,1328,1262,1268,1082,1087,841,845,721,725,1400,1283,1225,1050,816.5,699.86,524.89,,,,
656cfbc718408a59a3302ada,2022-11-16T00:00:00.000Z,1438,1445,1318,1324,1258,1264,1078,1083,839,843,719,722,1397,1281,1223,1048,815.05,698.61,523.96,,,,
656cfbc718408a59a3302adb,2022-11-17T00:00:00.000Z,1449,1454,1328,1333,1268,1272,1087,1090,845,848,725,727,1389,1273,1215,1042,810.2,694.45,520.84,,,,
656cfbc718408a59a3302adc,2022-11-18T00:00:00.000Z,1466,1471,1344,1348,1283,1287,1100,1103,855,858,733,735,1379,1264,1207,1034,804.49,689.56,517.17,,,,
656cfbc718408a59a3302add,2022-11-19T00:00:00.000Z,1475,1480,1349,1354,1290,1294,1106,1109,859,861,736,738,1384,1269,1211,1038,807.31,691.98,518.99,,,,
656cfbc718408a59a3302ade,2022-11-20T00:00:00.000Z,1472,1477,1349,1354,1288,1292,1104,1107,859,861,736,738,1387,1271,1213,1040,808.92,693.35,520.02,,,,
